,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,Hemato,Unkn-01,37-F01,1234.09001642978,,Unknown,Unassigned,False
,A02,FAM,Hemato,Unkn-01,37-F01,1318.17429552647,,Unknown,Unassigned,False
,A03,FAM,Hemato,Unkn-02,37-C08,1473.78453975815,,Unknown,Unassigned,False
,A04,FAM,Hemato,Unkn-02,37-C08,1428.85130166255,,Unknown,Unassigned,False
,A05,FAM,Hemato,Unkn-03,31-B08,1509.38614433771,,Unknown,Unassigned,False
,A06,FAM,Hemato,Unkn-03,31-B08,1347.30733907483,,Unknown,Unassigned,False
,A07,FAM,Hemato,Unkn-04,31-D06,750.998195587444,,Unknown,Unassigned,False
,A08,FAM,Hemato,Unkn-04,31-D06,787.680359573145,,Unknown,Unassigned,False
,A09,FAM,Hemato,Unkn-05,31-E07,1848.83075796542,,Unknown,Unassigned,False
,A10,FAM,Hemato,Unkn-05,31-E07,1788.13937462512,,Unknown,Unassigned,False
,A11,FAM,Hemato,Std-07,,2378.29093518301,,Standard,Unassigned,False
,A12,FAM,Hemato,Std-07,,2453.12610213561,,Standard,Unassigned,False
,B01,FAM,Hemato,Unkn-06,37-B02,1553.31287677693,,Unknown,Unassigned,False
,B02,FAM,Hemato,Unkn-06,37-B02,1613.28494033756,,Unknown,Unassigned,False
,B03,FAM,Hemato,Unkn-07,38-B01,1876.41298042042,,Unknown,Unassigned,False
,B04,FAM,Hemato,Unkn-07,38-B01,1835.653621831,,Unknown,Unassigned,False
,B05,FAM,Hemato,Unkn-08,31-C02,957.333177903382,,Unknown,Unassigned,False
,B06,FAM,Hemato,Unkn-08,31-C02,745.800226554573,,Unknown,Unassigned,False
,B07,FAM,Hemato,Unkn-09,31-D08,1124.31050185256,,Unknown,Unassigned,False
,B08,FAM,Hemato,Unkn-09,31-D08,1175.68129892477,,Unknown,Unassigned,False
,B09,FAM,Hemato,Unkn-10,31-E10,1670.01004049609,,Unknown,Unassigned,False
,B10,FAM,Hemato,Unkn-10,31-E10,1796.78911722367,,Unknown,Unassigned,False
,B11,FAM,Hemato,Std-08,,2393.97606978082,,Standard,Unassigned,False
,B12,FAM,Hemato,Std-08,,2387.21761476223,,Standard,Unassigned,False
,C01,FAM,Hemato,Unkn-11,37-D02,1193.7074948563,,Unknown,Unassigned,False
,C02,FAM,Hemato,Unkn-11,37-D02,1432.02250075915,,Unknown,Unassigned,False
,C03,FAM,Hemato,Unkn-12,38-D01,1429.555303513,,Unknown,Unassigned,False
,C04,FAM,Hemato,Unkn-12,38-D01,1365.73882856044,,Unknown,Unassigned,False
,C05,FAM,Hemato,Unkn-13,31-C03,1028.37967143414,,Unknown,Unassigned,False
,C06,FAM,Hemato,Unkn-13,31-C03,977.151302462266,,Unknown,Unassigned,False
,C07,FAM,Hemato,Unkn-14,31-D10,2133.68671171927,,Unknown,Unassigned,False
,C08,FAM,Hemato,Unkn-14,31-D10,2294.63935522626,,Unknown,Unassigned,False
,C09,FAM,Hemato,Unkn-15,31-E12,2189.58521293499,,Unknown,Unassigned,False
,C10,FAM,Hemato,Unkn-15,31-E12,2233.51008716223,,Unknown,Unassigned,False
,C11,FAM,Hemato,Std-09,,2584.36289213769,,Standard,Unassigned,False
,C12,FAM,Hemato,Std-09,,2341.29582500182,,Standard,Unassigned,False
,D01,FAM,Hemato,Unkn-16,37-A04,795.407552027296,,Unknown,Unassigned,False
,D02,FAM,Hemato,Unkn-16,37-A04,743.769073295514,,Unknown,Unassigned,False
,D03,FAM,Hemato,Unkn-17,38-C02,1053.03126104987,,Unknown,Unassigned,False
,D04,FAM,Hemato,Unkn-17,38-C02,1011.01271657523,,Unknown,Unassigned,False
,D05,FAM,Hemato,Unkn-18,31-C11,184.441393286417,,Unknown,Unassigned,False
,D06,FAM,Hemato,Unkn-18,31-C11,95.5551987164658,,Unknown,Unassigned,False
,D07,FAM,Hemato,Unkn-19,31-D12,1181.57013369281,,Unknown,Unassigned,False
,D08,FAM,Hemato,Unkn-19,31-D12,1257.77407548677,,Unknown,Unassigned,False
,D09,FAM,Hemato,Unkn-20,31-F01,823.386392670394,,Unknown,Unassigned,False
,D10,FAM,Hemato,Unkn-20,31-F01,1380.15687592818,,Unknown,Unassigned,False
,D11,FAM,Hemato,Std-10,,2030.43356575643,,Standard,Unassigned,False
,D12,FAM,Hemato,Std-10,,1971.27661340634,,Standard,Unassigned,False
,E01,FAM,Hemato,Unkn-21,37-C04,445.494975216456,,Unknown,Unassigned,False
,E02,FAM,Hemato,Unkn-21,37-C04,480.956850518122,,Unknown,Unassigned,False
,E03,FAM,Hemato,Unkn-22,38-G02,1448.99584546184,,Unknown,Unassigned,False
,E04,FAM,Hemato,Unkn-22,38-G02,1320.74588384486,,Unknown,Unassigned,False
,E05,FAM,Hemato,Unkn-23,31-D01,1426.44956698258,,Unknown,Unassigned,False
,E06,FAM,Hemato,Unkn-23,31-D01,1609.74080940555,,Unknown,Unassigned,False
,E07,FAM,Hemato,Unkn-24,31-E02,1653.10567666969,,Unknown,Unassigned,False
,E08,FAM,Hemato,Unkn-24,31-E02,1726.19936039513,,Unknown,Unassigned,False
,E09,FAM,Hemato,Unkn-25,31-F02,282.221015811278,,Unknown,Unassigned,False
,E10,FAM,Hemato,Unkn-25,31-F02,111.332420323884,,Unknown,Unassigned,False
,E11,FAM,Hemato,Std-11,,1545.19622850525,,Standard,Unassigned,False
,E12,FAM,Hemato,Std-11,,1397.42471390279,,Standard,Unassigned,False
,F01,FAM,Hemato,Unkn-26,37-H04,1099.48517017411,,Unknown,Unassigned,False
,F02,FAM,Hemato,Unkn-26,37-H04,1284.02712072142,,Unknown,Unassigned,False
,F03,FAM,Hemato,Unkn-27,38-D08,1773.74637218188,,Unknown,Unassigned,False
,F04,FAM,Hemato,Unkn-27,38-D08,1794.59407575814,,Unknown,Unassigned,False
,F05,FAM,Hemato,Unkn-28,31-D02,1032.48455372517,,Unknown,Unassigned,False
,F06,FAM,Hemato,Unkn-28,31-D02,1010.77871695328,,Unknown,Unassigned,False
,F07,FAM,Hemato,Unkn-29,31-E03,2422.7881698172,,Unknown,Unassigned,False
,F08,FAM,Hemato,Unkn-29,31-E03,2463.92173567505,,Unknown,Unassigned,False
,F09,FAM,Hemato,Unkn-30,31-F07,1403.22146835966,,Unknown,Unassigned,False
,F10,FAM,Hemato,Unkn-30,31-F07,1522.37478192389,,Unknown,Unassigned,False
,G01,FAM,Hemato,Unkn-31,37-B05,1442.40439171869,,Unknown,Unassigned,False
,G02,FAM,Hemato,Unkn-31,37-B05,1530.98185490929,,Unknown,Unassigned,False
,G03,FAM,Hemato,Unkn-32,38-E08,1307.18385374592,,Unknown,Unassigned,False
,G04,FAM,Hemato,Unkn-32,38-E08,1225.87628778592,,Unknown,Unassigned,False
,G05,FAM,Hemato,Unkn-33,31-D04,1701.65419895408,,Unknown,Unassigned,False
,G06,FAM,Hemato,Unkn-33,31-D04,1546.5311085851,,Unknown,Unassigned,False
,G07,FAM,Hemato,Unkn-34,31-E04,186.689103156114,,Unknown,Unassigned,False
,G08,FAM,Hemato,Unkn-34,31-E04,254.387823581848,,Unknown,Unassigned,False
,G09,FAM,Hemato,Unkn-35,31-F11,1839.68221741893,,Unknown,Unassigned,False
,G10,FAM,Hemato,Unkn-35,31-F11,1810.41112819085,,Unknown,Unassigned,False
,G11,FAM,Hemato,Std-13,,339.694747692553,,Standard,Unassigned,False
,G12,FAM,Hemato,Std-13,,357.218850339678,,Standard,Unassigned,False
,H01,FAM,Hemato,Unkn-36,37-F06,1590.86460697562,,Unknown,Unassigned,False
,H02,FAM,Hemato,Unkn-36,37-F06,1667.12080425327,,Unknown,Unassigned,False
,H03,FAM,Hemato,Unkn-37,31-B07,160.22455599206,,Unknown,Unassigned,False
,H04,FAM,Hemato,Unkn-37,31-B07,172.881371811972,,Unknown,Unassigned,False
,H05,FAM,Hemato,Unkn-38,31-D05,370.340785317085,,Unknown,Unassigned,False
,H06,FAM,Hemato,Unkn-38,31-D05,450.257158794091,,Unknown,Unassigned,False
,H07,FAM,Hemato,Unkn-39,31-E06,1393.4164796888,,Unknown,Unassigned,False
,H08,FAM,Hemato,Unkn-39,31-E06,1320.035904502,,Unknown,Unassigned,False
,H09,FAM,Hemato,Unkn-40,31-F12,1420.258930524,,Unknown,Unassigned,False
,H10,FAM,Hemato,Unkn-40,31-F12,1512.31807877067,,Unknown,Unassigned,False
,H11,FAM,Hemato,NTC,,4.21572336982354,,NTC,Unassigned,False
,H12,FAM,Hemato,NTC,,5.08440244659723,,NTC,Unassigned,False
