,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-73.8351934251623,16.3075085086948,-4.41581466475145,0.731956987929152,-12.7997240317636,-9.76845675518052,-22.3484522163599,1.16552042349394,-29.041861669124,7.41792297490792,10.7078240804021,-101.401192376012,-18.0347903685451,-34.5022518482474,-54.8689382597095,-44.7587624663956,-2.32834901224851,-17.3067915174779,-14.9903729352445,-18.5307725494258,-39.7881688359321,11.6808578337332,4.89238667788595,-41.3210670782591,-51.2226044242725,-33.5092778297421,10.957685684145,-27.54539760445,3.98036301330285,-22.533846169943,-7.63461320022907,-6.32838918961716,27.0287177640876,-11.8393631601775,-9.74739733880051,4.21068984669182,-14.5981661992955,-53.3327884190876,-21.7379003378064,22.3244515650076,-26.8512601781713,3.9068197594388,-26.8330196230127,-47.6912002613444,-21.9211367479602,18.6598447347587,24.0607697918967,-15.0815481131594,-35.8646266309333,-22.4128658620339,-4.04092731458331,-3.8562145618107,24.4850075320519,31.9532894525819,-6.83393838294614,51.4748921018454,-20.4174882370935,6.81875070394017,4.06522801860774,5.54706248334696,-42.5397309478631,-23.1223585622611,-9.0855117927058,-0.690149978299814,-11.2265414848971,33.2184499753057,17.0207931260047,9.14190623247487,24.5999937859724,47.3390415257545,-16.1496296088553,-5.29778186453768,5.23908809036402,5.12965055118366,5.09238206973714,-3.77944031742663,29.6664876541818,-7.44083955463066,30.4560609998443,30.3746149606068,34.0533785176322,56.4140210551213,3.15927195355653,-0.51365039189659,-0.0323355158579943,-12.6468249789632,-13.5708286929439,-22.489591039468,5.02232376271968,-43.5137048599354,12.6589873877256,1.35643940738009,51.1351352411784,-32.5685791322085
,2,-31.6763031786641,7.42634236354206,-12.3696507397308,2.56366940479347,-5.05321702664151,-5.97373556005914,-23.1431321596938,-14.2171212259746,-12.0896827558427,7.92361880347016,15.6597627561423,-22.1312519728526,0.265081951341926,6.0317504078921,-7.65798371523306,-7.2604435731173,9.8531125538284,-0.296657380347824,-13.4394215095053,1.85324681416023,-22.413926652891,4.19720104964836,6.20883791270899,-2.21506362815489,-24.8416896453055,4.80515780955284,14.6016900745162,8.01604958185089,11.7965936477631,7.31138173998079,2.05757628968422,8.47357150686184,24.3312963323424,-1.84556898643132,11.8595500784431,5.70679166777882,1.44376476018806,-6.97261566455018,10.6609503105628,32.4290660477,5.77367461046197,20.5912011872624,-6.26262944641167,-3.93478092825535,20.3561818125399,16.1741367196119,23.7725749011515,11.3741674063276,-18.1268023960856,19.54462013382,18.5129389186859,14.4977474673342,26.7085056019168,30.557898772111,2.96519764426557,30.5866029383869,7.85145616432965,-20.5955726627453,16.5725510446919,23.2419113674914,-20.3681251072885,11.5132917781229,10.8224135713263,19.014100774777,16.0402864097323,40.2392782408278,10.6309681917628,17.1734717299587,13.1197743637385,43.3945522301547,-3.01397885629194,14.4457126439174,13.2069770050257,13.3367751192618,20.4619816754057,10.6602328418685,19.491672788221,12.5617745258933,27.7892737195107,35.6719134016821,41.351856209234,57.200890818116,6.6868082996898,11.0530046463009,9.32608040018022,8.87668198680512,14.8044250271687,-3.77841829385397,9.46572976229982,-15.3998471603245,8.72950971491264,14.4589632996995,46.9793170023495,11.2301778776382
,3,-12.8594462896781,5.08376525702624,0.0965096514864854,-0.452765991709384,-1.24165698354045,-3.99380862034923,-2.87333997522364,1.98636766699929,-4.46914245814696,9.93777739799589,16.0385257091548,2.57694606292353,5.90644602095017,7.80282049878042,12.6773805337561,3.14027398035068,11.9265154036148,9.29986215857389,-2.29792610036566,4.93051787809418,-8.76484668931153,12.768131350289,4.17054719344378,7.4434940769479,-5.46896522691713,9.4647033360252,17.4588575338184,14.4355867620525,10.8041236554964,14.955120573688,9.88606849562348,10.9583390624357,22.0425636029413,9.17566546042326,12.3166324223421,10.4146417812881,15.2645962379556,3.81225296541925,14.8815112374905,26.989230629908,16.4343599940912,18.3386870848371,7.12302109920529,9.3675971794255,18.8958400368792,15.3703464585706,20.8235794478405,14.6708652915422,-3.4845123731011,17.3455814863682,21.0797190466456,13.4275442060843,24.4439311546885,21.2405502074835,5.92999132896512,23.4454966729027,20.1043754798302,-38.1284359743458,9.45410799565252,13.9369422400177,-10.3904997630907,20.5651957246628,17.8357272814301,16.4965572566198,16.7750586535967,34.6019858167965,10.0384177168471,17.6734313797551,16.6824071141509,22.0894200113726,1.52468337624123,14.2707015465876,15.6402185482584,13.7050014596589,12.258850296148,17.2573014748014,22.004365414763,17.5327978310652,28.5728872382842,22.2226240163636,21.0456966271995,22.4459160132865,8.26216350405412,4.48088241420737,14.3017375710424,21.2988790065174,10.6334356268308,-4.6897303229689,6.41695941442049,-2.68906927515491,13.1411160353728,27.0857813574057,20.0437546318171,9.28578100660707
,4,-7.53138330440834,6.51965950650811,-1.5945841759185,0.217405149867773,0.828635495974595,3.7672615893789,-4.76428576860235,-1.01102555547186,-6.72182160183729,8.94266273644644,4.84580151321097,5.62383310593577,6.78813190171968,2.2672653243626,6.35222892106867,1.68886116249269,8.66928187453959,7.85335581139952,2.53928590586474,7.49636186384487,-3.54566585105022,10.7665995643438,0.0627747844555415,5.64592346934114,-10.4238439833553,5.0296994323744,4.5129630158699,2.63187403481425,7.08243506000144,7.88952824928674,1.4952780955573,0.905054899531024,9.73451799609211,4.95258910413941,19.0608251880949,8.55972982515959,8.99531727020258,7.12561602706774,10.1430032725621,12.167572602395,11.4354713305838,8.9722595500225,7.75714811260332,4.58006410427333,11.5759476225321,8.6504050771091,10.0958775064719,16.0298232482473,-2.33688367685863,12.358267939504,7.30194302080417,6.51786988162348,12.8571690743556,2.96905464034535,1.60180129823857,26.0795428936872,14.0107119441964,-21.3038817029719,6.4744178856381,0.932755956506298,-0.0247106232545775,5.64431144381342,7.13328260724484,9.27721521621243,8.64300907397046,21.7894859907155,8.46044029491532,7.8737507323749,7.53343141995356,10.5189675122674,-2.73512357427899,6.02028312245966,14.0567956255436,10.5206782218629,3.73395357419577,9.7013976926537,14.924771758142,13.5103732813914,15.8707632609221,12.0639253101908,12.3251562449532,22.0489689085134,6.45874486988032,2.53979124229591,13.0540229943454,16.6874646826454,5.74383874901469,-2.56737673862517,6.66552043798401,-3.05040496620677,6.54535282364304,10.2546971821175,10.2464940430073,5.80433514404103
,5,1.96310413069659,-1.23096736602929,-7.44517082818857,3.57030369902532,1.7471880286721,-8.17366531478729,-13.8957884457668,0.623904896687236,2.39611294407769,5.35150831819192,6.22439649345324,5.30192119231106,5.95783520107216,1.80280241480978,5.43841234829961,4.94393408241922,1.4465277332929,1.94362569262375,2.56486603532176,7.67191537344479,4.09978010357554,14.2923161108156,5.49074851881414,3.8861120378042,-3.70316355435716,0.938174274897392,6.44651967912068,11.3086294274381,0.70378248527777,2.84378792328243,1.87131718830096,13.6382270701633,7.11819917708272,-3.16059482151286,0.644446416865321,8.47676916117416,7.17712966911495,4.33219547832596,5.99212214203726,6.9427286263799,9.58712754435874,11.6849382215187,7.00701256081447,9.03908779652738,7.56954866710294,3.23330260664807,2.1189681103624,0.35509028026172,2.58363876718977,1.36449986526713,9.72088422633533,3.76960643018174,6.99517077932251,0.434537653327425,2.79249684345996,28.3369369360771,8.4264545796741,-7.95121861597363,2.94506921900029,5.74380691143779,0.582712418501615,2.98627369664609,7.98157253200225,10.4565212272719,3.68630910830871,8.98778153433705,-1.24693807845688,3.63001035523848,7.52363210181466,9.04167081687228,2.96498180131312,3.67196517213415,19.7821681158293,9.86044814334127,3.46671043377319,1.81559887836011,9.57640842366527,12.5106169426708,6.47482953394865,13.8124186994828,4.59439279049548,4.52019970284346,6.11967613084016,2.16434834238862,6.10625184573291,7.18547925667554,3.64165801545096,-2.46526629222353,4.5021665910408,-2.48393741928339,7.19664296799783,6.95703047901407,5.65244272919699,5.631424817062
,6,8.38265365617553,3.93028512246383,-1.26416849878115,-0.552545183129041,0.114009462722606,0.340890903346008,-2.22395568735192,-0.0616014138431638,5.40411340310675,-0.223649451356323,4.93969261990424,-4.18225106445243,7.42465501862534,2.34756589050994,-1.91952339284217,2.5797430065013,4.13558804875174,1.72433216862009,-1.29004329097188,7.57090492699535,7.11846032444919,10.6556866113842,4.73101872032203,3.45310554997923,9.91353133557641,-2.02541307970387,-1.27119802834568,1.15393740753643,-0.685377149793567,3.13840892167354,1.89576138544362,1.90376624380042,3.57757725380907,1.3433710717527,-4.1652541453841,-3.48137414130542,3.43406082135516,3.31875554915496,1.11875428526582,3.36236638087576,3.3457092833869,2.85333983656164,6.79380678096277,4.63645598445146,0.929267712084766,0.00984120200882899,-3.34088430061456,0.635392345577202,-3.97919086072579,-6.8612299265169,-5.04531883041273,-0.325309880116038,-2.72513070284913,0.28331110345971,0.296610510949904,5.77147441122361,3.39924123780838,8.57953212764005,5.15744770647871,4.63783508816414,6.12382862374216,5.75180457066381,5.03280013216136,3.4698965600237,2.01328271771126,5.95472591032558,2.49376383694835,0.787270851053108,-0.811352769866062,5.27028682887067,-1.73721829774331,-3.64283230841829,-4.34248763125288,6.41336848694846,-1.17003557294447,-0.919548795116498,-6.86692707167094,-1.00977621774837,-3.63937492967125,-1.35700526834808,8.99542932063014,4.30603945648181,3.47016232723763,2.47549427969534,2.49126999122382,1.62320407401421,-0.696181158613399,0.0640832897679502,-1.27229908980189,2.36060349878971,-1.03326451451539,-0.0570550829743297,5.3579136088556,7.90794669680326
,7,3.98867398335551,-0.840475020537269,5.28051308290742,1.08910615899549,3.21917044600741,7.45731131389584,-5.74362208953426,1.85283908608653,0.757510287101468,10.9453231419266,-2.22929631275474,2.93024620544747,4.8606422761095,2.11585078829012,0.0342471053991176,3.94109011990258,3.70091249506368,0.851106560890912,1.47996705322112,1.96516537244315,4.85591797582492,-3.01130867276697,-2.59133882777678,3.44321878890878,2.22673092979312,2.44053121835896,0.0505477152091771,4.75958992295637,-1.04578069286799,3.22394305181297,-1.48757906581886,-4.33603111180128,-9.43617860530321,-6.57277880234142,-4.74551101335419,-4.5102149105478,8.03015057283301,3.89529946246694,2.09496570317424,7.77437632471629,1.57063620082226,3.04583553449083,3.33667659748608,0.852849211129069,-4.99640362885111,0.908140787401862,-3.27874776259523,-0.113634753828592,0.934166851706323,-1.35122427618262,-1.43197333702665,-1.63625655473697,-3.45274961536234,-2.22823077322209,0.000438615530583775,-2.89757852588627,0.561038119143632,13.8000632807634,-0.360374342279101,-1.59171077337487,0.791278226035502,1.05569464166183,1.85395600775519,3.03451511188905,1.67974267700083,0.137770964318406,-3.07546083105808,0.655397461325265,1.26936699743601,1.3998996646751,0.500898263795534,-3.62957813977118,-3.01800223897953,-1.29329124405376,-1.31528571364652,-1.25344870811387,-2.21876497874291,1.05897226343768,-3.55651880086771,-2.16991081122069,2.24648708475615,-4.58471232655756,4.74487028748263,1.84125651050454,0.518232830096167,5.94358011045369,-4.30950615995607,3.63509693696506,1.28261501581801,6.44287332456952,3.14249464955901,-5.08980361344584,-0.287874687955991,10.2808320396343
,8,-5.03019114216113,-10.0140029173763,2.03850619110926,2.91679054787346,-6.18559076412566,-4.81637036242864,-6.50405440968461,-6.59903219255284,-3.47087311173345,-7.16086916451241,-11.2388680536187,-7.03323727449606,4.95213224941472,-0.422892341724946,1.5168874064675,1.98088382264905,5.17885761953585,-0.670852049825044,4.81826110874499,2.2855018483242,5.44407547748961,-3.21384587352441,-4.85216114405011,-12.1103755447457,4.5069182034822,3.16479551674638,-2.81047592085633,0.753533013115884,-0.304578313374805,4.43730469400361,1.80308952476844,-3.27468402232989,-4.2319116474755,1.49631618782951,-7.06221830912727,-0.704788391598413,3.67365088094994,4.49172035018455,-1.86192076197949,0.578151586114473,3.48074818653731,1.22970637719845,0.128867404293487,-2.71435930625012,-3.53765505189949,-7.20353648715354,-7.55509784917922,-4.97073202247338,7.16214843198031,-1.39886117468086,-1.40294894526414,1.20059324975409,-1.04210847624381,-3.70546895352527,2.32342662088377,-4.3974430303515,-5.23717406675678,10.8785557060619,0.795442556462149,0.315654255176923,11.0474819293358,2.69596616072886,3.22499619425435,2.17074270480407,-1.71793409684142,-2.5169369527157,-4.94462007701804,-4.62002265860792,0.702974015055588,-3.90234248372508,4.51404575064771,2.29429601535958,2.07371319659251,-6.29344009482702,-0.95390544631482,-4.65110696878583,-10.9031842788008,-1.41261548434886,-8.47877133391557,-6.00435653386376,-4.19460800942215,-1.5719966007473,1.38323017170842,1.85246141976131,1.24409726716294,2.79676270882374,-2.07919364161535,4.53026854090604,0.686583794666149,4.06303569785996,-0.795759447797536,-4.12294005733202,-3.98187922489342,-0.492478600663162
,9,11.1420126896219,1.65472317570129,6.54145513832736,11.9389574601319,6.28312096051377,7.77408090305471,4.71527732410323,9.14155992754968,8.54111429889235,7.54323025231861,-4.90696593365647,1.23836955591469,5.49044280883572,-0.669259873178817,-0.48976184050116,5.80960707375198,-0.177747421212189,5.59739603361231,5.63677673498023,-5.92617758658344,3.0749774139731,-6.19509640804426,5.56337368389359,-4.12249785845597,4.05764533788897,-0.595506118654157,-5.76548464542248,-4.09730176128869,-10.9471326694184,-4.94265824839385,2.59786296957645,-14.4108619972521,-6.1630464269474,-1.63594241393002,-7.37463156135527,-6.69354874798955,2.10029492258218,5.39943060955738,3.21303052521944,-2.19402357769286,-6.9256257091547,-1.6145599703159,-3.26212410778862,-1.04660127182069,-3.98092871871813,0.0869290819282469,-2.414435274879,-5.811187741705,9.64451132151044,1.80921644656883,3.30981647260887,-4.20881178823947,0.116095754423441,3.97158255424438,0.894352194993189,-6.47056478194099,-4.51144811729864,12.0881819712704,1.55975611926988,-1.35776776200146,9.93464387393942,-1.28051450703424,1.94703550252234,3.31590442873312,4.36542389165515,-1.46852837832921,-7.74097128763606,-9.92323574617149,-4.91967747191666,-6.20577015101298,7.56096466478812,-3.83032523661677,0.334924138081988,-0.726189411376254,-4.27208543553934,1.05751605702426,-4.38690853129447,-5.56555114400726,-6.2713257075975,-3.75331725047363,-4.62212355558222,-3.35398576211082,1.38826184075151,6.12058488347247,2.4356116420422,1.4942196534812,-0.40357395394858,3.88015864334193,1.08240009209476,5.42967081714596,4.32597233285924,-0.424624229559413,6.88378806314904,4.68419961406653
,10,11.702606197563,2.74481645831838,6.34950987175034,5.43253354877015,9.38430292338126,8.63412650095233,7.98070566777278,3.96603206588588,9.56838577417511,3.11875534272804,-7.34317319133334,3.1310817530848,-2.46818638844888,4.66209392455312,-4.92666500200721,0.614043218347433,5.53200466154703,-1.10031791352958,3.01142588591392,0.00557212458261347,4.23954243217304,-4.70959693133773,3.69773598863867,-2.32120773423412,4.97220042510344,-1.76381863821553,0.623678642910818,4.9836935666699,-3.98560950491992,-0.019582050608733,2.44398342003478,-4.82538723395555,-6.885453004792,-0.0649809385049593,-4.00377068403759,-6.09387487111053,-1.72402817876355,1.78817909612007,0.33975580212973,-8.64685291317619,-5.63166992828155,-5.25413945965738,-7.81951089011091,-2.31076053041761,-2.71962956123934,-1.77318659195953,-2.50179121815017,-9.25539460479013,10.2266756325535,-4.63865421435366,-7.02748444671488,-10.1191281378251,-9.29406234205271,-1.3495670983375,5.03764390464676,-7.59175240054901,-5.78147586883279,7.07607562467274,-3.13838170093732,-3.65981197693691,9.46324523677504,-1.43015738486793,4.60076386280707,-9.15068297886501,-3.39509667642596,-13.6820145688926,-2.20538157936244,-4.26210502939102,-6.81958144481905,-6.0798338700024,3.94247058102337,-6.53745070934747,-9.17177942784474,-9.6424353281127,0.21702504509085,-3.19837718042072,-6.52913187570266,-11.994732826266,-10.3163379037778,-7.4207494544371,-2.0409754338707,-7.63679422424866,1.57942527855812,9.19733719940268,-2.26696330976665,-4.97952884464394,-4.58081057328673,5.84631487327351,0.797210249138516,3.39805050527866,-4.02127005303009,-4.69081548181384,-8.75249636679655,-2.132767450541
,11,11.3917708121335,3.31673370883618,10.1142794857988,2.0099511725075,3.71067074212442,12.4139473829091,9.94897321395547,1.86408772389768,8.11179677991458,-1.75279943753958,-4.16191536804217,7.78603632396153,0.674625550213023,-0.219201522590083,-0.912969288327076,-0.468158419880638,-5.0445428412786,-1.21746533098485,0.448204100022849,1.6919128754198,5.17811860219081,-3.49452676832516,2.43207734796124,-1.74910187011483,11.0217014604386,6.31175800944402,-1.95190040570196,-0.687513585955458,6.15594995473475,3.38549329896887,5.23511097972369,-5.699647577223,-3.76844542808249,3.59265844026959,-3.74782396635965,-5.6060408552039,-5.07473252132149,-2.99444725264038,-1.2988771317614,-7.04581731391772,-2.24287621863186,1.11367931982022,-3.45394044493878,3.23667219548042,-2.30009977084046,-6.29753826372144,-2.81127501310766,-4.35867651947228,7.44787502058171,-5.54802183307766,-4.28481590522279,0.824980011726439,-12.9770721407549,-7.28698577446448,3.3897003807233,-11.4441813237427,-5.73968619136576,9.52606650534108,0.860224116093377,-4.47984617857946,8.10372523639853,5.79200572097761,-1.37870640846086,-8.69908141664018,-5.58938293870415,0.386981290012045,-7.12522495383928,-7.58506670567476,2.57967119627392,-7.05839993024347,6.47850310234571,-0.972057069424409,-2.9923479685458,-5.26398995006093,2.14148266438133,-5.78057004303446,-1.1384153971394,-10.9058305641065,-8.63272864152896,-12.4933937474343,-2.42759972879685,-4.98893694504295,-2.79535588355793,2.99605139545019,0.0163806579166703,1.72250417560099,3.88899714790387,11.4036914087246,-2.23679620925213,1.71654640979978,-3.24157141637806,-0.554668998978741,-1.27909733327033,0.95796597386834
,12,13.1400574559248,6.00156136126134,15.6429928368907,5.91184870928373,11.7774867623812,11.8425966484047,19.8818562799679,3.90815287945588,12.6611849613528,-0.752903460965172,-2.05534253011319,1.40143453946075,0.771427707915791,1.06198964060968,-2.84698100717651,2.00676972943984,-1.5736314922633,3.94016236955395,9.56600249623989,2.8606921246319,8.62463300631134,-0.119776207660834,3.72290672692907,5.02932394166237,10.9983222018691,6.53789261166821,-4.25509640319615,6.87135689209936,13.8690195965264,8.74669832308246,2.01490344305603,10.8336393213485,3.50925333415034,6.07298054942657,5.26048233904294,-0.920400548418911,-0.742088338483882,4.23785655546999,-2.64871263443638,-0.236236897801064,-2.15476401029809,-3.38540889686374,-0.900812060301178,0.837949676335484,0.0611560967718106,4.32497233927825,-5.39765414537942,-2.73000483717806,9.27927860994714,1.05973393033128,-6.61311067258066,2.77175945937961,4.42419489483655,-4.68493389303694,-1.58599452576891,-13.2623024117111,-1.12359630966239,14.4404368457017,3.80180381151513,1.25736161610075,11.7509357158669,-0.44176121734381,-3.08826686017164,-4.08725445202253,-0.634675761335529,-10.6593806169822,2.50966633386997,-1.28512575363675,0.587197090693735,-2.8087403742702,9.39587843045592,7.02528096200876,-0.502123254385879,-0.771651562961779,2.17621922866419,2.5176814145907,-4.17077041025368,-2.44644807808982,-8.34062032124348,-8.71792407058092,-1.01339011444907,1.5388450751434,-1.1313971597956,4.57705514670852,-3.26211178481753,-2.42979495092004,5.40484893496432,8.77914860971214,3.59952747788338,2.50406235514311,-2.06375614454191,-7.77810056819726,6.39351311264181,4.15246653462782
,13,11.0609639577933,3.25661682426653,7.69801054703021,-3.50825869628352,7.30709813820067,2.66207588661746,10.7946367102959,4.80487272657956,3.22196784726111,-0.528989079011808,-4.29096196538376,6.24788325523514,-2.4392650029331,0.980575765101094,-0.405660697044368,-1.01049362102094,-2.46637104414003,-2.061976775527,3.02176124027392,-3.05313603537434,2.34589545672679,-7.77860033824618,-3.46371637512311,-0.570481453194589,9.31828860762289,2.15358742353601,-5.11932808258643,-7.45999934482279,1.50070631981544,-0.737822779427006,0.729903215626109,-6.19449698413337,-6.6228873119253,5.26780342728671,1.94957875467117,-1.69097645322472,-8.67064239027422,-2.88104186224336,-2.95952690720696,-10.1400093755365,0.679798708504677,-2.23113432856735,-2.58318888287431,0.410219414732637,-8.63155895804812,-4.58946994491453,-4.01301379912366,-4.16522275467287,1.46446853296766,-0.00971756303988514,4.0196477852387,2.00713346489465,-4.22524986132703,-0.464954540422696,2.0134398980008,-8.79118236592149,-5.86129092114425,11.7175326701308,-5.57910413308309,1.00816505760486,8.32893329411854,-1.92925168882357,-7.41985300504894,-5.8681312808003,-4.1194755294764,-12.8075323026151,-0.866383888049313,-5.95282598474296,-3.85196655581603,-9.40428996190531,6.15986370729297,4.39893998289517,-2.36051521138143,-3.23780731793158,2.48216276271887,-4.72063655557395,-3.15064960191739,-3.40250967214342,0.511726204724255,-5.77604079366756,0.17601629060664,3.50414845222258,-8.97119765870229,-3.17676464596479,-7.11744916469797,-4.59907219624438,5.28635022536582,8.79262473203562,-2.9405644991366,5.36308969149468,-1.72896229863545,-13.7136171183793,-3.9298823072204,-0.787290955104254
