,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,27,10.0737824283133,-4.4514993161838,931.21625597638,903.67773100607,276.986500009116,198.049020875684,-1.89867344282629,-7.15453276924291,-1.43398306501058,-1.46380598465657,1660.3234648575,1539.13521573315,-0.436592612546519,1.67474250158921,16.609697036869,10.9038493592016,1405.20601162935,1281.26410516506,979.547170961075,589.40114985967,77.2604104497041,74.6571274743683,1291.98618352084,1192.25347930982,1.05685659646224,6.90195079862315,97.1362357762646,94.0226144173739,-0.876144595998994,-1.71448544503437,205.350312344066,238.038710609491,-1.02098489445416,0.613762117580336,614.382578503884,558.50154509743,2.89756664777633,4.34697480253635,1012.0002387187,1056.21534172274,8.60357794547963,13.5979583169974,141.026903072858,153.289855062809,-5.29930305225753,1.18448147128947,101.54071829225,82.2311771920522,1.05758677241101,-0.962873119271535,-6.19745143200453,-6.41272404733536,-4.82869708734506,3.05448974732099,1144.58323830394,1205.60635104342,1.15030644709805,-8.44843708781264,11.4751667085966,12.1515976583523,74.6528056336629,82.0440458247249,26.1661887790451,11.9248885775123,370.597440192107,371.620909896687,62.8490468663385,67.0759293342835,-4.97860509437487,1.77668346824066,0.889912576774805,2.6646362306401,-0.553418267472807,2.38233368583678,-3.84867590225986,3.52481006636481,3.31380248219375,-0.544134029285487,20.4940343787548,12.1773924959307,1.82470346122318,5.91376247334483,0.725149211471944,2.92983362218365,7.47515299759652,2.04728378967957,18.6086957573534,21.921109581257,3.13997091423244,-0.981544520354873,13.830538562248,15.4741957951173,1327.63683431635,1444.51600365338,6.29286766647238,6.05654720262373
,28,30.1788293792433,17.1146747697385,1117.55002307506,1088.47692829911,430.335752233756,348.235441731689,-0.505005175316001,10.0892337983723,5.4818306654779,1.68674096261748,1768.07158834753,1643.27366366681,2.65772653819477,4.13628177776445,25.5890459486563,25.4479872914817,1576.25154096942,1451.20470165104,1157.80602374373,807.767562816382,135.756498458102,136.518894691527,1489.89009069239,1372.80927432104,6.06121752518993,4.70823250594367,172.994410684267,175.331874693018,14.0729895918412,1.73065537245202,358.48592349894,373.292308905568,3.75303374759824,0.941806729462769,850.015129307586,768.228426288368,10.3824633102377,5.13493984411434,1211.78934375236,1264.74877794514,28.425998109331,33.9074255373562,259.695701339588,284.841877819517,0.871554388551886,2.05446118444706,184.567023924448,156.644969947509,2.64017376991251,5.16507455088322,3.09390480102047,7.18309030949786,-0.50324032217577,11.110127377402,1329.54513544821,1390.19531960059,3.74333203236893,2.78578135260614,18.7217364049702,15.3557559734945,144.76987964109,149.198451390414,47.5342220741095,34.0195254807222,540.053286536029,538.084849194021,113.940837815306,118.961222490176,9.87338841873679,6.81929277165,6.62663226362201,2.21870476850927,2.52981971946429,1.79722629553544,-0.0113649215818441,14.675871130572,9.59929329791157,0.220367900915335,46.4784363581202,31.0214267200145,6.71290505945763,6.3073790580529,6.81869405334146,4.73820804810748,15.154230957005,8.74958418477399,42.2438237227834,45.4557766217313,9.54613167879324,0.339419712734525,32.8336311624571,35.4012250759597,1476.22677349628,1609.58619685928,2.24321732613498,7.5268872386805
,29,48.089666112508,39.6250393632772,1291.34945424416,1261.1533469031,612.215044566842,506.704551175784,-3.83196875776503,-5.16592259505342,-5.91153283201857,-4.09574503649037,1855.53957523087,1726.47279714806,3.69848436563007,5.53867271608942,48.8943596046429,39.1233367436562,1724.12355056386,1598.43294678983,1320.35870626261,1036.10959135643,248.835237707859,232.579403438494,1669.35371749243,1538.3151517351,0.144178304133675,4.60161263063128,326.116578400134,317.354771037931,0.919642017905062,-1.69387576193003,529.709891012636,542.456151470591,6.71083845471549,4.68886498363827,1100.40973401122,994.163131286917,13.4367543052376,6.78686741926504,1402.0913552162,1458.98430916316,51.6724334499322,63.1660072179402,400.854722999266,443.130009505317,-2.27188944899535,0.866293994089574,323.502134739522,287.015862583812,2.61785206716559,3.09447987394196,3.08847914183207,2.78784601519874,-0.566720153477945,-0.909284249126358,1497.66861445402,1561.79364139467,2.81867063754726,-0.817544491372246,41.2405566657089,28.4578466470011,241.848089968073,279.459103222216,75.0755797342772,68.7721295944284,734.094837563686,726.347786748876,199.817588928714,200.495224634436,0.0174637535674265,-3.24531966195354,7.44777966441325,3.47673656469124,1.12059298859822,2.92534114119007,-3.31310172232952,15.7000725553771,16.1473138305264,10.4426825515475,78.4356092905418,74.3702609500106,16.2736839699228,8.99296497448086,5.16249492696988,-1.83036958225784,16.7954695728022,12.1514967588955,82.4644989257013,75.5999546464409,6.20064171279591,4.89310655426743,68.1499377596156,66.7544297757131,1603.85047658971,1756.8139195269,0.598146350661409,0.208235884996611
,30,97.4208006751742,68.0131126341394,1438.6437468,1414.10802698531,806.604761437335,681.192906799995,-6.64194650273112,-11.7653913907125,-4.39574219579754,-8.70865296031661,1923.59885511501,1793.00086278477,4.66884012173068,3.08547873594216,86.9711456810292,70.2532952278398,1844.90494342224,1724.59917308533,1462.30295710244,1261.53745572214,386.208133559764,386.810015332809,1824.8083058894,1682.48821947146,3.57089981692479,1.41982957457185,493.4636634881,479.007758342774,4.89863583008082,3.79188290287675,718.879753209015,732.931551492874,1.20910782528335,1.30300920647642,1348.80653679334,1219.10722731947,10.7164582325204,7.97964484434851,1572.79195145863,1636.47806970406,99.4603378999182,102.783059151539,570.606558233718,635.332790608996,3.14585414096837,1.26377754570058,492.662443872676,441.492965750394,4.45116027829681,4.29178512761246,10.2393649356654,2.22729012548007,2.47369719468952,11.9778620386533,1642.73474642546,1705.81611337817,5.71243025046169,0.828885560409617,71.5002188917861,54.135803054005,401.389942252221,442.640556652301,130.165226721021,124.042078589096,931.287399956705,918.556763262592,344.67343431998,336.710987941226,6.09911993779497,2.88727733316773,14.0801357715609,16.6681240710041,3.29767271091259,2.98153670369175,16.5468666980651,31.4362708642893,33.0908597246735,7.9600589924712,134.188407747699,125.612639448662,22.2261620725731,31.0592297105795,5.52577692557497,11.2207257754744,36.0037895719288,17.2446579988737,152.497830350832,142.721234621584,7.46242796120987,1.9762852069307,138.30030621124,132.01604583974,1708.73895098875,1876.19449949827,3.59941385700586,2.19141567814131
,31,170.619062487041,141.674136123463,1572.44730991152,1545.05080813974,1001.99454010087,860.414930277535,-3.78271780479827,-2.66933013071775,1.13515105933129,1.74744229296812,1980.50938101173,1843.52027061389,-1.3340843814949,2.48404040107744,153.776753710239,134.629873919885,1940.3595221424,1826.97437903711,1583.11203197876,1473.77287922415,550.821898243885,558.077089725649,1960.54254767556,1809.74118983545,1.11993290946884,7.73168375051682,687.608214475436,672.722157895705,-5.04214467244492,5.14346161489448,914.312291337546,922.626574820241,4.19043792415505,-1.34132319989294,1585.39466307744,1429.44796796135,14.0357321571137,10.0601088828607,1723.20478598829,1789.37780557941,177.923515672937,176.690329884343,754.47194637105,840.517934035327,-3.87009317672528,3.22134561054918,702.561987053109,624.439636729196,4.6291024583461,7.26196212389004,6.09414024228681,3.68404069205644,-3.21967400814174,4.50458904942388,1763.33804732139,1830.59034001637,3.98934505452962,4.7992721957562,129.52912660097,106.570013394083,584.187536089055,647.535180142422,231.96937665322,220.182161737146,1128.23177472271,1107.37124674811,508.188984529839,490.119708657359,7.03568267884475,10.9660891428593,20.083268276283,19.2062123289306,0.621296261784664,5.02674964321159,4.01858551778787,39.3594672979161,46.2046634033977,18.2031148983733,241.383994488624,215.840761168334,43.6980528345848,58.0464737138536,8.71352758309149,-0.868177249480141,61.1256110375634,35.6383324156322,275.657608978874,255.554039112045,8.79485933236901,11.1979344657248,245.542227447759,225.381726266352,1795.59895322824,1976.16523062009,2.92575315923568,-0.641163323119144
,32,321.167933828847,259.698624512492,1685.55514704643,1655.29366754044,1190.41068171813,1039.91186741739,-3.75108358244324,-4.22570056315817,4.14347573677514,-0.707875739847623,2023.87007691613,1889.0939989492,1.81319416557926,0.610182052196251,279.580920382273,230.819455674718,2035.51361074897,1912.48618282463,1683.98495045455,1672.2124224878,734.558138118237,746.563269205256,2075.91440614297,1917.65210162501,1.13072051537711,3.89728774121431,891.350474972646,878.1051864618,-6.06067908929072,-1.38453598560591,1106.71426287714,1111.12182995735,1.08030506924115,0.376814574923628,1801.79468134305,1627.03380102857,16.1845071215048,20.262346362686,1850.16717147104,1921.93787996007,312.862429466288,301.093207779085,944.364432370964,1055.21990181139,-0.7556708597549,-1.25066516676634,932.002199678279,830.586453982041,11.6575572365673,23.1218857459644,7.56484845363048,5.03215834378716,4.90786828315504,10.1047552540585,1863.1278812808,1928.1798003371,11.4943541798984,9.90685245016721,228.096402407367,201.567357623833,792.414081551424,879.207792318775,387.021216013844,378.77969441725,1312.71132534888,1284.52929520696,693.522192061804,665.035869821223,4.62197978053882,4.04502771228363,33.1238089367762,36.7467055428533,-0.0119138055615622,5.46536011243734,4.00051056266057,67.5433820527378,85.9038432543384,34.1204017557002,371.510965550202,359.206531206471,72.583332181277,106.017165653913,3.0023971881219,-2.52171366344555,116.029566585305,64.1083525508893,425.97825319853,400.401654885591,13.9988337372015,5.97674295247634,398.422935079428,376.69621498011,1863.03340511564,2053.97814846394,-3.18454675988141,5.29186278245743
,33,493.84786515022,426.237401841652,1776.45471047154,1743.75798660554,1365.38338273564,1201.94490850248,-0.102054356602821,2.5190259762112,9.7521711034542,4.68350830031341,2058.67989246798,1915.95376761973,3.8971251010189,11.1143920702652,432.155709429581,394.568360633166,2115.01101611826,1974.34821002993,1765.26279507298,1849.7753890161,919.64789041618,939.734030211671,2169.81976231642,2002.62795418742,6.54771398687262,0.0401810548682988,1102.01316318384,1091.73270675493,4.25038145627695,4.94159740936811,1284.72453236171,1289.18059257587,3.33288852294208,8.10780936733499,1994.39059122703,1803.31707319291,35.5590727370745,35.7153882045022,1953.2113629771,2031.09744208689,468.819169334455,446.222990411082,1126.66761335372,1260.99256682712,-3.66036295885897,10.1548310114304,1168.76704415951,1040.28121989733,16.2220665350978,28.9585976537892,11.7488474518796,14.2536033572142,5.42911662294682,6.48334163135587,1947.82332097155,2013.70402806258,21.8387776786312,9.86210357776326,403.898762028597,345.208462897079,1009.07409614738,1120.75416851202,569.269622353169,564.53353402895,1481.98883079834,1443.09806570174,889.510608309234,851.451171437811,6.74886870486444,14.0820799227695,67.1412545290568,66.6901657254675,5.7625491722938,3.77402391477699,6.78853264521786,133.810125364578,152.227830069531,54.2970349460911,527.683999950453,514.542349500994,144.207938746793,198.473066329881,8.30285505454958,-8.87785586820428,203.991661993659,120.555848424181,608.877157454082,580.41872413031,20.1612666919264,22.0196810188481,566.652130174796,542.693896554982,1919.54458624527,2115.16637015816,2.40432471300119,-3.4626257964328
,34,689.97788842287,606.628464214432,1838.71460203516,1814.98246282769,1521.9954917538,1348.18536094782,4.64910780956416,-4.6850298654399,23.8425345863579,19.058709714529,2087.76241886479,1940.82733344811,5.46403300280872,8.92331600462785,616.678472227106,570.680354760882,2180.48891325878,2022.94830333126,1828.34463767968,2001.37734511154,1099.77304810193,1127.06871123458,2244.44387600898,2070.82235399592,11.0159079030236,3.49675808786196,1302.57646555157,1294.09340195016,8.43902345252718,10.3656663620495,1449.92985452355,1459.78362069336,5.82585604337692,2.03192206956737,2161.97251719098,1960.55869162874,48.8347890650748,57.6265236425061,2036.1387507081,2116.13116360242,649.389885898412,613.559385579825,1299.4204726686,1456.38164770938,2.99042603567432,7.32456647187246,1396.14997709225,1249.54241887624,45.4323245493288,68.1898009541801,20.6387915719224,22.011450132657,2.83677852757137,13.4765327846217,2014.28497689677,2079.47942910113,43.5730210782549,50.729998348279,604.577114392568,511.133980710158,1224.18469359002,1358.27105212379,781.702985733211,777.55193010473,1632.62434716448,1585.24832347199,1084.3064421511,1035.85570827635,17.9457861873379,23.8226829050691,125.273496421838,132.133664464172,4.4223775613591,6.9644352505893,27.1278374578033,237.990372215369,262.018810953873,97.4790371649497,696.022472282194,687.495490044045,250.819700372243,344.751490435105,22.0431968808516,6.65616310234145,353.641017728701,211.029500768773,827.331432736216,780.280387551114,30.7955468880073,43.1590144022375,752.694171932537,723.115428480448,1962.88424517467,2163.21486090298,2.97126039573777,5.56050199628044
,35,898.206237420987,797.594314841958,1882.81163051222,1863.71005442618,1655.53817091941,1471.7887371141,7.36045716018998,-0.897489008360026,48.0300293003065,45.2911541303429,2112.13186586697,1957.86308971974,2.36878333227833,21.2700591528974,815.394269306254,760.909126758007,2214.1628177631,2059.03223803097,1872.92634911804,2127.84597125381,1262.50071199691,1296.76423736609,2295.16497978114,2122.51557380677,13.9132453270395,4.27624979214488,1493.12724903498,1479.59994105831,22.8731667538323,32.7890564363206,1587.02609142625,1601.42601757275,16.5644928434722,7.26334677873456,2301.86507621212,2090.09606662346,81.4694224355462,102.315579881495,2097.36844886736,2180.54208175992,839.744845464113,786.778223377314,1450.03048480313,1626.25216870115,9.3143764944416,10.9032669978278,1605.70172497614,1436.77172885368,79.6665738452139,123.635679546744,41.5159702287947,37.8135424138,8.80830530782441,14.1601608531,2062.7809176541,2127.61847594565,67.1180125539049,89.4378033649373,833.371845862376,702.525755303293,1425.15159775669,1577.05193669979,999.331318298119,996.363815483841,1761.54895441772,1702.79890444235,1264.07948554942,1206.3618144221,23.8991286048986,43.5484455670357,219.938601974238,240.406285772748,6.02496101527322,7.25535268472595,21.3572708622414,385.141954483384,379.331064523437,176.450479555947,863.94925127741,853.968185569658,407.576835964688,505.172305135141,31.8732210228372,19.7590711750545,524.181653392032,367.88270224411,1052.28798986959,981.040569492614,46.3999692131647,70.5944500605656,936.832843471206,904.125885939534,1994.8184206378,2197.73281145142,5.38816116288945,0.996318598279686
,36,1104.6866616438,992.944444969122,1918.44945726842,1901.66066692925,1768.31915484515,1576.59517704491,6.64793510024083,7.12296678010807,88.4472469440698,82.8510527429744,2135.59056045881,1978.39518372068,0.696477813635283,36.1868122777505,1017.64458166071,948.932669140455,2243.13607125653,2089.28564136417,1906.26850485577,2227.66531151847,1409.25974852446,1452.1140044766,2337.32477385048,2162.21128559867,24.149462558611,1.10791282788523,1657.47452840856,1642.91628138654,28.6652383953515,39.3395242464358,1706.30695496073,1721.91138833104,25.3386872509163,7.39533844760626,2419.61877921006,2196.84958645629,134.453649052573,177.102649643411,2145.30628699139,2229.23008087402,1029.20077198428,956.762154044479,1585.81123187322,1776.10480058865,3.44515095019597,16.6035323191827,1795.85770478863,1612.15596477304,145.53078819976,214.320509437337,71.178689260074,56.6870980326403,-2.17819087588214,12.6724938056377,2102.45995985275,2165.86121078985,115.612345919089,145.57748797864,1075.72090365133,904.203101919328,1609.82878668849,1775.60848141301,1214.42692101224,1217.59116866619,1872.83079481917,1803.60820891471,1431.43506135358,1363.35693899358,19.5761875073567,70.2290270703506,379.959036027817,401.191743260372,3.24401235617916,9.79601571332205,31.2980511515088,552.540510078898,510.414241414875,295.144361126442,1029.51731783403,1016.44131399416,583.627262505074,686.298651346472,49.9377618937724,23.7752546214779,720.919143625436,541.213826048048,1270.16559135012,1177.34740575852,85.9718343286722,131.794699977268,1114.06185044472,1082.46706195544,2023.30021288938,2228.56365019325,-7.17131442659593,5.92938289552967
,37,1304.66300823154,1174.92979651399,1953.95413815215,1928.91745454729,1856.31495460586,1657.997585134,34.041775867172,39.1776770268661,162.788003474656,168.129218703556,2156.93744726582,1994.67059257857,6.41451523479191,71.2762044370302,1212.21553854063,1136.06317401912,2270.43268742025,2118.2012989819,1935.7720396455,2310.76456199961,1535.01556686891,1584.73585865943,2373.34089218151,2196.8904791576,55.5158213855921,-4.66986658275346,1800.96797986545,1783.44971463693,60.8497300591207,82.7168067462353,1802.50123681632,1814.57119215632,47.3300522424252,32.3508428438308,2508.51523855169,2280.04167765146,243.501388017177,310.433932467839,2184.63139799752,2270.44387265923,1209.44976998284,1117.84993258836,1701.11170410925,1902.80361065814,3.5545581751594,29.0488390034479,1966.03854381315,1764.58515853287,267.570441776802,371.674911415245,127.592543430717,113.508425195201,-1.14083261346968,35.1380985949891,2134.70751771076,2201.40721846332,216.480301019867,294.378089611613,1319.22399565745,1105.90161562553,1770.57433867303,1946.1845897976,1415.21194223899,1425.29422820434,1961.12080702096,1882.99586886475,1580.21281886936,1501.77473045608,43.4519646327244,128.61953114469,565.261151968406,585.054562035265,34.6476538857387,32.1261419048915,71.9527813315053,744.524267233911,648.561682377193,436.439084695028,1183.67395333229,1166.16761167609,777.103100366639,879.000771555325,92.2342807284767,61.8625127145515,928.602688657379,732.707639630335,1461.30479187418,1360.74265520543,135.558828234307,234.778687896462,1276.89469321134,1251.75769732513,2051.5064315908,2257.7362406873,-0.46479829126838,15.3644482071868
,38,1490.59531476116,1341.76221830919,1983.93512698494,1956.87699652706,1929.40301981003,1726.5326665551,79.8145831590537,86.0117337737265,296.171987182509,296.456837836264,2179.32845295561,2008.72436736331,7.90239107131674,130.397841801854,1393.07568974938,1307.340301944,2297.64872990831,2144.84184150982,1964.22583596777,2374.17686694956,1645.09552440195,1699.71175627764,2407.01953308885,2226.91171525897,113.16728860156,4.94942473512492,1914.34544002196,1901.90061964984,126.389342400733,147.266618962289,1882.58606193915,1892.85733343518,95.5528831595311,59.1682695724267,2582.73374232914,2347.10736219399,375.894657979752,464.714534907205,2221.82873110322,2305.95550281434,1371.68996595149,1268.70007558012,1796.84802495893,2008.70184136437,10.788005232871,61.0032139638151,2111.7489104616,1899.15797399072,414.793743613557,551.882142690181,230.860234255591,207.674653327202,3.27876784100408,56.1343020221611,2164.96946805997,2237.22404728885,370.054013887913,474.656415583229,1558.08454713175,1303.18284826819,1911.55736115308,2097.75515326669,1603.1021829344,1621.68825303091,2034.74937513801,1948.53119469964,1715.54500900436,1628.05419503324,71.5723095761368,227.061488334281,780.816054366889,795.760793971685,46.7874529776236,60.733895123145,141.933458635282,944.623980858025,787.687002928185,601.74658091054,1324.95490894442,1309.57404620414,979.701004548845,1070.69624100703,182.498911352322,149.16822201614,1135.18544312117,933.106432233821,1633.18794525737,1527.55947351696,246.347532407432,384.515205108889,1426.60631142374,1406.34936195886,2083.21788143553,2289.58546970672,6.49226227081817,33.986513604068
,39,1653.12881477144,1487.21017278463,2009.67316403234,1981.49263599054,1986.69026867926,1779.65589149924,149.339891510992,164.11652281016,447.693854930182,447.209077067577,2199.34763809261,2023.78175420329,11.6968957861336,225.392955888503,1554.26095942672,1463.20664472578,2320.13404977303,2170.32085364336,1989.21693220046,2426.51702398598,1731.67792879591,1789.05681174137,2435.80061936372,2256.58530060617,207.78209542715,7.29410873587767,2007.21371159479,1995.91849706662,219.695188999212,266.304484589501,1940.23078738102,1949.48097513426,176.868978019165,124.932839372428,2638.36440644602,2396.15757178982,537.196118360254,639.92317061543,2254.22617857051,2339.2295818974,1519.31097089075,1402.30853983717,1870.12499178768,2091.78697286615,4.42063976877034,103.167801077037,2235.23949359003,2014.47552516509,593.680888300801,756.957662479461,400.343635799657,353.000447376299,0.448910113505917,96.0370873494903,2193.17724660646,2266.84164635142,548.083104980803,688.266076618337,1776.79921780876,1484.63634202991,2028.71184515069,2220.34242152572,1766.35591876996,1788.25613648993,2092.92998149538,1999.70225518342,1828.3505766528,1732.34218569722,139.242803811921,387.520042601909,1004.52609122337,1006.75660323446,103.3000488425,109.955001564449,248.944363735865,1142.62554185209,914.910219645314,773.410727103558,1448.30459713337,1435.87383658198,1172.1204252019,1249.72552967927,326.277976350601,261.920479003256,1331.93159848504,1127.07222983789,1784.32115554343,1672.09399651143,378.020702257838,549.263764796719,1555.24619239485,1538.22069002351,2108.30014871437,2318.62974165184,15.9265473219893,61.2922768284025
,40,1795.70062915043,1621.36236167523,2033.57076474589,2009.13405195201,2038.64207100478,1826.2152070908,262.234795140581,291.153574901413,617.353606717676,620.385936397496,2218.56892072187,2043.79412144378,9.35901335695416,375.619213158878,1701.80786694756,1599.72258615781,2338.40600258168,2190.51111075951,2008.93710004593,2471.09051112352,1803.16876567218,1863.19572845818,2462.00643734246,2281.94247377526,335.455035416822,-6.83343696586235,2078.67038342099,2073.17605072197,357.245065677949,396.305267478763,1982.72271159383,1993.51174780921,302.506384258802,225.81423010716,2688.38664695479,2435.2729301353,714.35016050229,822.386766897236,2281.92706557016,2373.64087978358,1657.02452965569,1522.85686255298,1928.13312205379,2158.97555686902,4.88639286200851,191.792775386621,2343.28217359035,2121.2659384743,788.068071580088,974.432089130863,577.618983669607,515.013691497204,5.11665464915313,170.40501491545,2227.89895888699,2294.57835185216,750.567574298537,913.719660766341,1981.5988211569,1656.5376664573,2131.2771574937,2326.81337917717,1913.76261132025,1940.82939049632,2144.43332360753,2045.23290867972,1927.88253103091,1825.9695583482,229.316329708015,562.97129913507,1231.8915276269,1218.27048427263,185.333152351137,191.048686541097,413.86193561149,1334.1907219841,1029.69731443245,941.307052257935,1563.57899602233,1548.16697245892,1356.22924195257,1416.84856340047,490.465009783122,423.878047316743,1520.54577325691,1312.92026499279,1916.13844459969,1799.99104912249,530.578337785522,729.024366959951,1667.83647656773,1654.01228323264,2130.87051049036,2345.58082229475,14.9286677914388,128.959091395192
